_nwb_path,subject_id,reward_block,block_order,block_start_from_session_seconds,block_stop_from_session_seconds,block_duration_seconds,n_trials,is_technically_valid
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,engaged_2,3,2385.22592,3902.4285200000004,1517.2026,271,true
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,engaged_1,1,0.0,887.3409899999999,887.3409899999999,171,true
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,no_reward,2,887.3577600000001,2383.6099299999996,1496.2521699999998,158,true
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,engaged_2,3,2392.63235,3904.68389,1512.05154,234,true
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,engaged_1,1,0.0,889.2929999999999,889.2929999999999,187,true
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,no_reward,2,889.59332,2382.09143,1492.49811,156,true
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,engaged_2,3,2382.84181,3900.87876,1518.0369500000002,197,true
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,engaged_1,1,0.0,889.02633,889.02633,168,true
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,no_reward,2,889.54308,2385.81116,1496.2680799999998,154,true
https://dandiarchive.s3.amazonaws.com/blobs/b7c/991/b7c991b8-a603-458b-8e4b-8b721669fecd,611166,engaged_2,3,2395.5687500000004,3902.46397,1506.8952199999999,307,true
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,engaged_1,1,0.0,881.38644,881.38644,157,true
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,no_reward,2,882.1198800000001,2382.10773,1499.98785,154,true
https://dandiarchive.s3.amazonaws.com/blobs/755/a0b/755a0bb5-97d8-4679-a2d6-1be3366d9cff,612090,engaged_2,3,2382.12451,3905.33208,1523.20757,280,true
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,engaged_1,1,0.0,889.04259,889.04259,207,true
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,no_reward,2,889.64274,2376.8199099999997,1487.17717,156,true
https://dandiarchive.s3.amazonaws.com/blobs/805/c33/805c3334-a4f4-4386-90fd-c7b064a28be8,612090,engaged_2,3,2385.82755,3906.7836199999997,1520.9560699999997,235,true
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,engaged_1,1,0.0,889.69339,889.69339,125,true
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,no_reward,2,890.44358,2385.27718,1494.8336,158,true
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,engaged_2,3,2386.02741,3904.0477800000003,1518.0203700000002,233,true
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,engaged_1,1,0.0,888.8592199999999,888.8592199999999,141,true
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,no_reward,2,888.89225,2388.16302,1499.27077,160,true
https://dandiarchive.s3.amazonaws.com/blobs/ecf/ff1/ecfff12c-b251-430f-9c0d-05025ad77f11,612090,engaged_2,3,2388.9135,3904.71521,1515.8017099999997,200,true
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,engaged_1,1,0.0,882.12004,882.12004,153,true
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,no_reward,2,882.13648,2385.76068,1503.6241999999997,159,true
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,engaged_2,3,2385.77698,3900.81147,1515.03449,300,true
