subject_id,perturbation_family,condition,reward_block,metric,n_sessions,n_trials,value,condition_order,condition_label,block_order,block_label
623319,novelty,familiar,engaged_1,behavior_response,2,26,0.8452380952380952,3,Identity: familiar,1,E1
623319,novelty,familiar,no_reward,behavior_response,2,94,0.12789115646258503,3,Identity: familiar,2,NR
623319,novelty,familiar,engaged_2,behavior_response,2,54,0.9436813186813187,3,Identity: familiar,3,E2
623322,novelty,familiar,engaged_1,behavior_response,3,67,0.7831890331890331,3,Identity: familiar,1,E1
623322,novelty,familiar,no_reward,behavior_response,3,117,0.1969519480141038,3,Identity: familiar,2,NR
623322,novelty,familiar,engaged_2,behavior_response,3,123,0.5795311268715524,3,Identity: familiar,3,E2
626279,novelty,familiar,engaged_1,behavior_response,1,21,0.6190476190476191,3,Identity: familiar,1,E1
626279,novelty,familiar,no_reward,behavior_response,1,45,0.1111111111111111,3,Identity: familiar,2,NR
626279,novelty,familiar,engaged_2,behavior_response,1,33,0.5151515151515151,3,Identity: familiar,3,E2
632295,novelty,familiar,engaged_1,behavior_response,2,27,0.9285714285714286,3,Identity: familiar,1,E1
632295,novelty,familiar,no_reward,behavior_response,2,86,0.26422764227642276,3,Identity: familiar,2,NR
632295,novelty,familiar,engaged_2,behavior_response,2,66,0.8783410138248848,3,Identity: familiar,3,E2
638387,novelty,familiar,engaged_1,behavior_response,1,21,0.8095238095238095,3,Identity: familiar,1,E1
638387,novelty,familiar,no_reward,behavior_response,1,29,0.27586206896551724,3,Identity: familiar,2,NR
638387,novelty,familiar,engaged_2,behavior_response,1,25,0.52,3,Identity: familiar,3,E2
640887,novelty,familiar,engaged_1,behavior_response,2,48,1.0,3,Identity: familiar,1,E1
640887,novelty,familiar,no_reward,behavior_response,2,100,0.16,3,Identity: familiar,2,NR
640887,novelty,familiar,engaged_2,behavior_response,2,87,0.9523809523809523,3,Identity: familiar,3,E2
640890,novelty,familiar,engaged_1,behavior_response,2,49,0.9587542087542087,3,Identity: familiar,1,E1
640890,novelty,familiar,no_reward,behavior_response,2,96,0.1335214937038645,3,Identity: familiar,2,NR
640890,novelty,familiar,engaged_2,behavior_response,2,87,0.7830338266384778,3,Identity: familiar,3,E2
642504,novelty,familiar,engaged_1,behavior_response,3,69,0.9855072463768115,3,Identity: familiar,1,E1
642504,novelty,familiar,no_reward,behavior_response,3,137,0.23326432022084195,3,Identity: familiar,2,NR
642504,novelty,familiar,engaged_2,behavior_response,3,128,0.9924242424242425,3,Identity: familiar,3,E2
614547,novelty,designated_novel,engaged_1,behavior_response,1,10,0.9,4,Identity: designated novel,1,E1
614547,novelty,designated_novel,no_reward,behavior_response,1,29,0.41379310344827586,4,Identity: designated novel,2,NR
614547,novelty,designated_novel,engaged_2,behavior_response,1,14,0.9285714285714286,4,Identity: designated novel,3,E2
614608,novelty,designated_novel,engaged_1,behavior_response,2,22,0.9615384615384616,4,Identity: designated novel,1,E1
614608,novelty,designated_novel,no_reward,behavior_response,2,58,0.34404761904761905,4,Identity: designated novel,2,NR
614608,novelty,designated_novel,engaged_2,behavior_response,2,43,0.6309523809523809,4,Identity: designated novel,3,E2
615048,novelty,designated_novel,engaged_1,behavior_response,2,22,0.9083333333333333,4,Identity: designated novel,1,E1
615048,novelty,designated_novel,no_reward,behavior_response,2,54,0.4241379310344828,4,Identity: designated novel,2,NR
615048,novelty,designated_novel,engaged_2,behavior_response,2,45,0.6452569169960474,4,Identity: designated novel,3,E2
615564,novelty,designated_novel,engaged_1,behavior_response,2,22,1.0,4,Identity: designated novel,1,E1
615564,novelty,designated_novel,no_reward,behavior_response,2,42,0.3340909090909091,4,Identity: designated novel,2,NR
