subject_id,transition,anchor_type,bin_center_minutes,mean_axis_score,n_sessions,n_trials,transition_order,transition_label,anchor_order,anchor_label
614547,withdrawal,pseudo,-1.0,-0.1323947927312529,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
614547,withdrawal,pseudo,1.0,-0.3217937787064241,1,1,1,Reward withdrawal,2,Within-state pseudo-boundary
614547,withdrawal,pseudo,3.0,-0.14941512759201597,1,2,1,Reward withdrawal,2,Within-state pseudo-boundary
614547,withdrawal,pseudo,5.0,-0.24185145360869117,1,3,1,Reward withdrawal,2,Within-state pseudo-boundary
614608,withdrawal,pseudo,-5.0,0.02967479778700092,2,6,1,Reward withdrawal,2,Within-state pseudo-boundary
614608,withdrawal,pseudo,-3.0,0.007839881621002645,2,8,1,Reward withdrawal,2,Within-state pseudo-boundary
614608,withdrawal,pseudo,-1.0,-0.022261001480537515,2,5,1,Reward withdrawal,2,Within-state pseudo-boundary
614608,withdrawal,pseudo,1.0,-0.09555545566479617,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
614608,withdrawal,pseudo,3.0,-0.08640832421096052,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
614608,withdrawal,pseudo,5.0,-0.06462518271658696,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
615048,withdrawal,pseudo,-5.0,-0.04627109311949217,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
615048,withdrawal,pseudo,-3.0,-0.09933439668479631,2,3,1,Reward withdrawal,2,Within-state pseudo-boundary
615048,withdrawal,pseudo,-1.0,-0.12999470305749686,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
615048,withdrawal,pseudo,1.0,0.004136467587215614,2,7,1,Reward withdrawal,2,Within-state pseudo-boundary
615048,withdrawal,pseudo,3.0,0.00882858269595196,2,8,1,Reward withdrawal,2,Within-state pseudo-boundary
615048,withdrawal,pseudo,5.0,0.03139588028914554,1,1,1,Reward withdrawal,2,Within-state pseudo-boundary
615564,withdrawal,pseudo,-5.0,0.15614070022699644,2,4,1,Reward withdrawal,2,Within-state pseudo-boundary
