subject_id,transition_id,transition_order,condition,n_sessions_inventory,n_sessions_in_analysis,real_step,n_sessions_real_step,n_real_window_trials,pseudo_step,n_sessions_pseudo_step,n_pseudo_window_trials,pseudo_controlled_step,n_sessions_pseudo_controlled_step,n_controlled_window_trials,real_latency_step_seconds,n_sessions_real_latency_step_seconds,n_real_window_latency_responses,pseudo_latency_step_seconds,n_sessions_pseudo_latency_step_seconds,n_pseudo_window_latency_responses,pseudo_controlled_latency_step_seconds,n_sessions_pseudo_controlled_latency_step_seconds,n_controlled_window_latency_responses,within_mouse_aggregation
615563,reward_restoration,2,catch,3,3,0.11111111111111112,3,29,0.007936507936507936,3,40,0.10317460317460318,3,69,-0.148609999999735,1,2,,0,0,,0,0,equal_session_mean
615563,reward_restoration,2,go,3,3,0.8622895622895622,3,51,0.0123931623931624,3,71,0.8498963998963999,3,122,-0.03398499999957494,2,16,-0.23345250000016904,2,9,0.1994675000005941,2,25,equal_session_mean
615563,reward_restoration,2,go_minus_catch,3,3,0.7511784511784511,3,80,0.004456654456654459,3,111,0.7467217967217966,3,191,,0,0,,0,0,,0,0,equal_session_mean
615564,reward_withdrawal,1,catch,4,4,0.05803571428571428,4,44,0.1,4,44,-0.04196428571428573,4,88,0.11670000000003711,1,2,-0.3336999999999932,2,5,,0,0,equal_session_mean
615564,reward_withdrawal,1,go,4,4,0.2581800144300144,4,64,0.06458333333333333,4,68,0.1935966810966811,4,132,0.050101250000054165,4,39,0.058388749999942036,4,48,-0.00828749999988787,4,87,equal_session_mean
615564,reward_withdrawal,1,go_minus_catch,4,4,0.20014430014430012,4,108,-0.03541666666666671,4,112,0.23556096681096683,4,220,,0,0,,0,0,,0,0,equal_session_mean
615564,reward_restoration,2,catch,4,4,0.3392857142857143,4,33,-0.23511904761904762,4,41,0.5744047619047619,4,74,0.251549999999952,1,2,0.16550000000006548,1,2,,0,0,equal_session_mean
615564,reward_restoration,2,go,4,4,0.4868055555555556,4,61,-0.0523989898989899,4,65,0.5392045454545455,4,126,-0.16991833333334702,3,20,0.025023333333213788,3,10,-0.254309999999748,2,22,equal_session_mean
615564,reward_restoration,2,go_minus_catch,4,4,0.1475198412698413,4,94,0.18272005772005773,4,106,-0.035200216450216384,4,200,,0,0,,0,0,,0,0,equal_session_mean
623319,reward_withdrawal,1,catch,3,3,0.19999999999999998,3,21,-0.35000000000000003,3,24,0.55,3,45,-0.1512400000000298,1,2,-0.19603750000001696,2,7,,0,0,equal_session_mean
623319,reward_withdrawal,1,go,3,3,0.1357142857142857,3,36,-0.08333333333333333,3,29,0.21904761904761905,3,65,0.04373166666666369,3,29,-0.01617000000006404,3,24,0.05990166666672773,3,53,equal_session_mean
623319,reward_withdrawal,1,go_minus_catch,3,3,-0.06428571428571428,3,57,0.26666666666666666,3,53,-0.330952380952381,3,110,,0,0,,0,0,,0,0,equal_session_mean
623319,reward_restoration,2,catch,3,3,0.0,3,34,-0.047619047619047616,3,42,0.047619047619047616,3,76,,0,0,,0,0,,0,0,equal_session_mean
623319,reward_restoration,2,go,3,3,0.648917748917749,3,51,0.10427350427350428,3,72,0.5446442446442447,3,123,0.11047000000015335,3,18,-0.015879999999867778,2,8,0.10667749999998932,2,21,equal_session_mean
623319,reward_restoration,2,go_minus_catch,3,3,0.648917748917749,3,85,0.15189255189255188,3,114,0.49702519702519704,3,199,,0,0,,0,0,,0,0,equal_session_mean
623322,reward_withdrawal,1,catch,4,4,0.01428571428571429,4,46,-0.05,4,48,0.0642857142857143,4,94,,0,0,,0,0,,0,0,equal_session_mean
623322,reward_withdrawal,1,go,4,4,0.25392662892662893,4,78,0.037247474747474765,4,80,0.21667915417915415,4,158,0.043626250000045275,4,41,0.02756624999998536,4,53,0.016060000000059915,4,94,equal_session_mean
623322,reward_withdrawal,1,go_minus_catch,4,4,0.2396409146409146,4,124,0.08724747474747477,4,128,0.15239343989343987,4,252,,0,0,,0,0,,0,0,equal_session_mean
623322,reward_restoration,2,catch,4,4,0.0,4,44,0.10803571428571429,4,43,-0.10803571428571429,4,87,,0,0,-0.41709000000014385,1,2,,0,0,equal_session_mean
623322,reward_restoration,2,go,4,4,0.6505681818181819,4,76,-0.15922619047619047,4,76,0.8097943722943723,4,152,0.019552500000372675,2,21,-0.0028224999999793,4,22,0.009102500000267355,2,35,equal_session_mean
623322,reward_restoration,2,go_minus_catch,4,4,0.6505681818181819,4,120,-0.26726190476190476,4,119,0.9178300865800866,4,239,,0,0,,0,0,,0,0,equal_session_mean
