subject_id,source_region,target_region,reward_block,n_sessions,source_added_r2,shift_source_added_r2,real_minus_shift_source_added_r2,n_trials
614608,Isocortex,HPF,engaged_1,2,-0.006693453387258408,-0.00248265972880235,-0.004210793658456058,41
614608,Isocortex,HPF,engaged_2,2,-0.0018202496122063372,0.0005102717838529891,-0.0023305213960593263,41
614608,Isocortex,HPF,no_reward,2,-0.014493069918320334,-0.005723162754310562,-0.008769907164009771,41
615048,Isocortex,HPF,engaged_1,2,-0.013662534458394493,0.0012771010541132166,-0.01493963551250771,35
615048,Isocortex,HPF,engaged_2,2,-0.011753757519332386,-0.022033759399479658,0.010280001880147271,35
615048,Isocortex,HPF,no_reward,2,-0.010670563533055566,-0.018496011176489358,0.007825447643433792,35
615564,Isocortex,HPF,engaged_1,2,-0.02703985003333259,-0.010977028918191023,-0.016062821115141568,33
615564,Isocortex,HPF,engaged_2,2,-0.013731758297315544,-0.007521202504259861,-0.006210555793055683,33
615564,Isocortex,HPF,no_reward,2,-0.08255651012216975,-0.1585425211644566,0.07598601104228686,33
623319,Isocortex,HPF,engaged_1,1,-0.012263313133958564,-0.016826876112616684,0.00456356297865812,12
623319,Isocortex,HPF,engaged_2,1,0.005275747173596468,-0.028003621494435693,0.03327936866803216,12
623319,Isocortex,HPF,no_reward,1,0.009809575751050348,-0.04526637574188097,0.05507595149293132,12
623322,Isocortex,HPF,engaged_1,3,-0.010301108431289285,-0.0006884070195631494,-0.009612701411726135,67
623322,Isocortex,HPF,engaged_2,3,-0.006267693623942046,-0.0038027024180823377,-0.0024649912058597088,67
623322,Isocortex,HPF,no_reward,3,-0.0012158412032711914,-0.01441770528640729,0.013201864083136098,67
626279,Isocortex,HPF,engaged_1,1,-0.008462384575990245,-0.009326845562069863,0.0008644609860796182,21
626279,Isocortex,HPF,engaged_2,1,-0.005754628669773498,-0.0093699278844952,0.003615299214721701,21
626279,Isocortex,HPF,no_reward,1,0.04195612608126331,0.0034375820257495082,0.038518544055513804,21
632295,Isocortex,HPF,engaged_1,2,-0.011331752713053977,-0.014129911750318191,0.002798159037264214,26
632295,Isocortex,HPF,engaged_2,2,-0.0026258439657441124,-0.008452444252811775,0.0058266002870676625,26
632295,Isocortex,HPF,no_reward,2,-0.01532828635032063,-0.01694336765666593,0.0016150813063453007,26
638387,Isocortex,HPF,engaged_1,1,-0.00496915772164519,0.004209624121628508,-0.009178781843273698,21
638387,Isocortex,HPF,engaged_2,1,-0.022876889001411826,-0.003681867384608517,-0.01919502161680331,21
638387,Isocortex,HPF,no_reward,1,-0.0048686880325468085,-0.011672832382955911,0.006804144350409103,21
640887,Isocortex,HPF,engaged_1,2,-0.0036042265902150317,-0.013734211033574528,0.010129984443359497,48
640887,Isocortex,HPF,engaged_2,2,-0.015652882164040427,0.006295303464776469,-0.021948185628816896,48
640887,Isocortex,HPF,no_reward,2,0.005170875447351508,-0.0039186409570173275,0.009089516404368836,48
640890,Isocortex,HPF,engaged_1,2,-0.00861184335669446,-0.006213731401474909,-0.0023981119552195507,49
640890,Isocortex,HPF,engaged_2,2,0.00004699757779241809,-0.003967293107011327,0.004014290684803745,49
640890,Isocortex,HPF,no_reward,2,-0.0037447608606555605,-0.006433019799101658,0.0026882589384460975,49
642504,Isocortex,HPF,engaged_1,2,-0.0032742500331272573,-0.000027926256627064383,-0.003246323776500193,34
642504,Isocortex,HPF,engaged_2,2,-0.00851549220298975,-0.012488539861756853,0.003973047658767104,34
642504,Isocortex,HPF,no_reward,2,-0.018585075912836535,-0.023661202572703932,0.005076126659867397,34
614608,Isocortex,MB,engaged_1,2,-0.009819547894926284,-0.022076468498752166,0.012256920603825883,41
614608,Isocortex,MB,engaged_2,2,-0.006612782855504096,-0.01306129894555913,0.006448516090055034,41
614608,Isocortex,MB,no_reward,2,-0.011401629382841227,0.0054931989579420915,-0.01689482834078332,41
615048,Isocortex,MB,engaged_1,2,-0.0028606313395674876,0.005583268662003871,-0.008443900001571358,35
615048,Isocortex,MB,engaged_2,2,-0.012679953213630468,-0.01184541183313026,-0.0008345413805002089,35
615048,Isocortex,MB,no_reward,2,-0.011872404603509579,-0.003642620719978229,-0.00822978388353135,35
615564,Isocortex,MB,engaged_1,1,-0.004647628673036586,-0.006794898014068518,0.002147269341031932,17
615564,Isocortex,MB,engaged_2,1,-0.05307215359362971,-0.11803155683521804,0.06495940324158833,17
