_nwb_path,subject_id,ecephys_session_id,recording_day,session_number,is_technically_valid,is_good_session,engaged_1_start_time,engaged_1_stop_time,no_reward_start_time,no_reward_stop_time,engaged_2_start_time,engaged_2_stop_time,transition_id,transition_order,pre_block,post_block,pseudo_block,effect_direction_multiplier,real_boundary_time,pseudo_boundary_time,real_pre_coverage_start,real_pre_coverage_stop,real_post_coverage_start,real_post_coverage_stop,pseudo_coverage_start,pseudo_coverage_stop,boundary_values_valid,latency_direction_multiplier,real_time_window_complete,pseudo_time_window_complete,time_window_seconds,time_bin_width_seconds,trial_window_count,trial_bin_width,effect_window_seconds,pseudo_boundary_definition,included_in_transition_analysis,boundary_status
https://dandiarchive.s3.amazonaws.com/blobs/0e3/8be/0e38be1e-c081-4521-86c7-d316a3aa6a09,611160,1176580734,EPHYS_2,2,true,false,37.66674,922.03887,922.7891,2420.45843,2421.20868,3938.06102,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2420.45843,1671.623765,922.7891,2420.45843,2420.45843,3938.06102,922.7891,2420.45843,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,4,true,false,37.77841,927.45526,927.4718,2423.72284,2424.47272,3943.99406,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,927.4718,482.616835,37.77841,927.4718,927.4718,2423.72284,37.77841,927.45526,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/31a/05e/31a05e05-48b4-4889-a8b3-8dffcdc8ef89,611160,1176989662,EPHYS_4,4,true,false,37.77841,927.45526,927.4718,2423.72284,2424.47272,3943.99406,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2423.72284,1675.5973199999999,927.4718,2423.72284,2423.72284,3943.99406,927.4718,2423.72284,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,3,true,false,37.51509,921.15353,921.90501,2426.39547,2427.14601,3942.17959,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,921.90501,479.33431,37.51509,921.90501,921.90501,2426.39547,37.51509,921.15353,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/8a2/759/8a27595e-a223-4dec-9fcd-0f886050fa7d,611160,1176791184,EPHYS_3,3,true,false,37.51509,921.15353,921.90501,2426.39547,2427.14601,3942.17959,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2426.39547,1674.15024,921.90501,2426.39547,2426.39547,3942.17959,921.90501,2426.39547,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,1189820015,EPHYS_2,2,true,false,122.41913,1004.53921,1005.2897,2506.89454,2507.64505,4024.84765,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,1005.2897,563.4791700000001,122.41913,1005.2897,1005.2897,2506.89454,122.41913,1004.53921,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/6a7/f05/6a7f05a7-12dd-44cc-8d40-59fa08937b0e,611166,1189820015,EPHYS_2,2,true,false,122.41913,1004.53921,1005.2897,2506.89454,2507.64505,4024.84765,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2506.89454,1756.0921199999998,1005.2897,2506.89454,2506.89454,4024.84765,1005.2897,2506.89454,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,1190290940,EPHYS_4,4,true,false,338.99659,1226.33758,1226.35435,2722.60652,2731.62894,4243.68048,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,1226.35435,782.6670849999999,338.99659,1226.35435,1226.35435,2722.60652,338.99659,1226.33758,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/718/75c/71875c87-1585-49ee-b80f-26210d975e15,611166,1190290940,EPHYS_4,4,true,false,338.99659,1226.33758,1226.35435,2722.60652,2731.62894,4243.68048,reward_restoration,2,no_reward,engaged_2,no_reward,1.0,2722.60652,1974.480435,1226.35435,2722.60652,2722.60652,4243.68048,1226.35435,2722.60652,true,-1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
https://dandiarchive.s3.amazonaws.com/blobs/861/4d2/8614d263-cbc7-4fbd-bc00-69a8b1b927e5,611166,1189336645,EPHYS_1,1,true,false,221.30492,1110.59792,1110.89824,2603.39635,2604.14673,4122.18368,reward_withdrawal,1,engaged_1,no_reward,engaged_1,-1.0,1110.89824,665.95142,221.30492,1110.89824,1110.89824,2603.39635,221.30492,1110.59792,true,1.0,true,true,360.0,120.0,24,8,180.0,temporal_midpoint_of_source_reward_state,true,included
