_nwb_path,subject_id,ecephys_session_id,recording_day,audit_scope,reward_block,block_order,n_trials,n_trials_with_valid_lick_vectors,n_trials_with_invalid_lick_vectors,n_trials_with_valid_response_event,n_trials_without_valid_response_event,n_trials_with_duplicate_lick_timestamps,n_trials_with_duplicate_response_window_licks,n_raw_lick_timestamps,n_unique_lick_timestamps,n_duplicate_lick_timestamps,n_raw_response_window_licks,n_unique_response_window_licks,n_duplicate_response_window_licks,n_response_window_licks,canonical_response_count_is_deduplicated,total_duplicate_count_consistent,response_window_duplicate_count_consistent,fraction_trials_with_duplicate_lick_timestamps,lick_timestamp_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,session,all,0,639,639,0,315,324,0,0,1556,1556,0,99,99,0,99,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,session_block,engaged_1,1,207,207,0,46,161,0,0,580,580,0,37,37,0,37,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,session_block,no_reward,2,157,157,0,157,0,0,0,245,245,0,21,21,0,21,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f8f/a8d/f8fa8d9d-b477-4570-875d-852aa7c507d4,608671,1178693650,EPHYS_4,session_block,engaged_2,3,275,275,0,112,163,0,0,731,731,0,41,41,0,41,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,session,all,0,491,491,0,369,122,0,0,670,670,0,99,99,0,99,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,session_block,engaged_1,1,146,146,0,70,76,0,0,434,434,0,69,69,0,69,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,session_block,no_reward,2,155,155,0,155,0,0,0,3,3,0,1,1,0,1,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/fe8/82f/fe882f8d-cadd-49b7-a088-3f7605d8b083,608671,1178173272,EPHYS_2,session_block,engaged_2,3,190,190,0,144,46,0,0,233,233,0,29,29,0,29,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,session,all,0,654,654,0,297,357,0,0,1794,1794,0,225,225,0,225,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,session_block,engaged_1,1,185,185,0,51,134,0,0,555,555,0,73,73,0,73,true,true,true,0.0,pass
https://dandiarchive.s3.amazonaws.com/blobs/0ab/b29/0abb2952-5419-4c3b-b848-d58b590e49b5,608672,1174790219,EPHYS_2,session_block,no_reward,2,151,151,0,151,0,0,0,141,141,0,41,41,0,41,true,true,true,0.0,pass
