subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_trial_start,relative_trial_stop,relative_trial_center,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
607660,reward_withdrawal,1,pseudo,catch,-1,engaged_1,-8,-1,-4.5,4,4,4,0.0,10,0,0,,0,0,4,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,1,engaged_1,1,8,4.5,4,4,4,0.20833333333333331,9,2,2,0.41145499999998947,2,0,2,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,2,engaged_1,9,16,12.5,4,4,3,0.3333333333333333,5,1,1,0.394909999999868,1,1,3,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,3,engaged_1,17,24,20.5,4,4,2,0.0,7,0,0,,0,2,4,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,-3,engaged_1,-24,-17,-20.5,4,4,2,0.3666666666666667,11,4,2,0.4333299999999909,4,2,2,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,-2,engaged_1,-16,-9,-12.5,4,4,3,0.4067460317460318,21,9,3,0.4622600000000337,9,1,1,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,-1,engaged_1,-8,-1,-4.5,4,4,4,0.5416666666666667,22,12,4,0.342796250000017,12,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,1,engaged_1,1,8,4.5,4,4,4,0.5035714285714286,23,12,4,0.4688574999999844,12,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,2,engaged_1,9,16,12.5,4,4,4,0.5776785714285715,27,16,4,0.4262812499999882,16,0,0,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,go,3,engaged_1,17,24,20.5,4,4,2,0.475,9,4,2,0.4622150000000147,4,2,2,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,-3,engaged_1,-24,-17,-20.5,4,4,4,0.25,8,2,2,0.41145499999998947,2,0,2,observed,equal_session_mean
607660,reward_withdrawal,1,real,catch,-2,engaged_1,-16,-9,-12.5,4,4,4,0.0,6,0,0,,0,0,4,observed,equal_session_mean
