_nwb_path,subject_id,cohort_assignment,allocation_status,session_behavior_eligible,mouse_behavior_eligible,analysis_included,analysis_exclusion_reason,session_exclusion_reasons,split_seed,confirmation_access_policy,neural_activity_used_for_allocation,sex,genotype,project_code,recording_day,session_number,asset_id,path,ecephys_session_id,behavior_session_id,date_of_acquisition,recording_day_number
https://dandiarchive.s3.amazonaws.com/blobs/e4a/849/e4a84972-c995-4591-b870-4171b092406b,612090,confirmation,provisional_pending_coarse_regional_coverage,false,true,false,session_failed_behavior_qc; session_qc=engaged_1_dprime_below_threshold,engaged_1_dprime_below_threshold,1051,provisional_holdout_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,0f3dad61-fba3-4429-b69a-0afae63b5d52,sub-612090/sub-612090_ses-20220527T182739.nwb,1180266229,1180344154,2022-05-27 11:27:39.873000,4
https://dandiarchive.s3.amazonaws.com/blobs/e00/438/e0043830-9418-4875-88b6-c0b5aefca5ae,614547,discovery,provisional_pending_coarse_regional_coverage,false,true,false,session_failed_behavior_qc; session_qc=no_reward_response_above_threshold,no_reward_response_above_threshold,1051,provisional_discovery_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_1,1,05409f9b-35a3-4899-8e11-77c914af1de7,sub-614547/sub-614547_ses-20220531T221544.nwb,1181096406,1181158215,2022-05-31 15:15:44.760000,1
https://dandiarchive.s3.amazonaws.com/blobs/e52/a35/e52a35c1-68c0-4750-9822-c73be5911a37,614547,discovery,provisional_pending_coarse_regional_coverage,false,true,false,session_failed_behavior_qc; session_qc=no_reward_response_above_threshold,no_reward_response_above_threshold,1051,provisional_discovery_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,b29b295d-eda4-41d5-853d-a642d49104a8,sub-614547/sub-614547_ses-20220601T205407.nwb,1181324124,1181368438,2022-06-01 13:54:07.026000,2
https://dandiarchive.s3.amazonaws.com/blobs/c78/ef5/c78ef53f-16de-4f5e-8235-afe87a226203,614547,discovery,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_discovery_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,de002a4b-649b-4532-ae3f-d7864309fe9d,sub-614547/sub-614547_ses-20220603T181003.nwb,1181731440,1181781821,2022-06-03 11:10:03.464000,4
https://dandiarchive.s3.amazonaws.com/blobs/68c/a06/68ca0674-2a8a-4931-8d5b-10a3edfb0cfa,614608,discovery,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_discovery_not_activated,false,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_1,1,ec85faf3-7bae-49fa-88c5-08014fcf4d2b,sub-614608/sub-614608_ses-20220627T224458.nwb,1187475832,1187501365,2022-06-27 15:44:58.776000,1
https://dandiarchive.s3.amazonaws.com/blobs/0bd/fcc/0bdfccec-c7f5-413e-b52d-4ad1895672fa,614608,discovery,provisional_pending_coarse_regional_coverage,false,true,false,session_failed_behavior_qc; session_qc=engaged_2_response_below_threshold,engaged_2_response_below_threshold,1051,provisional_discovery_not_activated,false,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,cb11969c-666a-43e1-aecd-5b97f09c8ccd,sub-614608/sub-614608_ses-20220628T211655.nwb,1187668018,1187706525,2022-06-28 14:16:55.019000,2
https://dandiarchive.s3.amazonaws.com/blobs/fd4/c49/fd4c4964-f02b-456e-af4d-b9407877d0de,614608,discovery,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_discovery_not_activated,false,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_3,3,62eb6208-d267-48ec-ae3f-a7fa88d7d9fe,sub-614608/sub-614608_ses-20220629T220553.nwb,1187940755,1187966621,2022-06-29 15:05:53.771000,3
https://dandiarchive.s3.amazonaws.com/blobs/170/d5f/170d5fde-4cd2-400a-9e5e-40fbcb9b6985,614608,discovery,provisional_pending_coarse_regional_coverage,false,true,false,session_failed_behavior_qc; session_qc=engaged_2_response_below_threshold;reward_suppression_drop_below_threshold,engaged_2_response_below_threshold;reward_suppression_drop_below_threshold,1051,provisional_discovery_not_activated,false,Male,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,a71589dc-96f2-49ee-b545-a594066ef004,sub-614608/sub-614608_ses-20220630T213929.nwb,1188138256,1188247028,2022-06-30 14:39:29.170000,4
https://dandiarchive.s3.amazonaws.com/blobs/4d8/ee0/4d8ee03a-8ed6-46af-baef-48bcdc3bda86,615047,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_1_dprime_below_threshold,engaged_1_dprime_below_threshold,1051,not_applicable,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_1,1,1f71b720-272a-4b4d-88a7-00968533631f,sub-615047/sub-615047_ses-20220711T224005.nwb,1190892228,1190940684,2022-07-11 15:40:05.549000,1
https://dandiarchive.s3.amazonaws.com/blobs/a25/64a/a2564a07-a0cb-4376-b229-bb8586440a65,615047,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_1_response_below_threshold;engaged_2_response_below_threshold;reward_suppression_drop_below_threshold,engaged_1_response_below_threshold;engaged_2_response_below_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_2,2,a4fc07e0-333d-44ff-b658-72c23d8bbe1f,sub-615047/sub-615047_ses-20220712T211809.nwb,1191131853,1191171011,2022-07-12 14:18:09.723000,2
https://dandiarchive.s3.amazonaws.com/blobs/333/44c/33344c82-0b1b-48ac-b5b1-ba6eac47f6e2,615047,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;no_reward_response_above_threshold;reward_suppression_drop_below_threshold,engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;no_reward_response_above_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_3,3,2fb309c7-c0d6-430b-b93d-070ebccbb47d,sub-615047/sub-615047_ses-20220713T211752.nwb,1191375883,1191402762,2022-07-13 14:17:52.010000,3
https://dandiarchive.s3.amazonaws.com/blobs/9b5/21d/9b521df8-c80b-4305-b5f5-6830e47015dc,615047,excluded,provisional_pending_coarse_regional_coverage,false,false,false,mouse_has_no_threshold_selected_sessions; session_qc=engaged_1_response_below_threshold;engaged_2_response_below_threshold;engaged_1_dprime_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,engaged_1_response_below_threshold;engaged_2_response_below_threshold;engaged_1_dprime_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,1051,not_applicable,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating_DEV,EPHYS_4,4,31a5243b-8d49-4a33-ab39-0cd5696addc0,sub-615047/sub-615047_ses-20220714T203802.nwb,1191631184,1191660619,2022-07-14 13:38:02.072000,4
https://dandiarchive.s3.amazonaws.com/blobs/fe0/9ba/fe09ba54-89e9-4b73-bf95-5127c2ee2ad9,615048,discovery,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_discovery_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,EPHYS_1,1,57231aaa-dcee-4109-8377-4d491f8214cd,sub-615048/sub-615048_ses-20220809T213337.nwb,1197514969,1197547900,2022-08-09 14:33:37.222000,1
https://dandiarchive.s3.amazonaws.com/blobs/75d/9d0/75d9d091-e7db-47d1-aac4-d41133e29393,615048,discovery,provisional_pending_coarse_regional_coverage,true,true,true,,"",1051,provisional_discovery_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,EPHYS_2,2,84f50b06-6566-4b3c-bc3a-853adf8eb581,sub-615048/sub-615048_ses-20220810T211453.nwb,1197725774,1197751799,2022-08-10 14:14:53.846000,2
https://dandiarchive.s3.amazonaws.com/blobs/cef/352/cef35297-7f3a-41ce-949d-59dd2a4c4bc1,615048,discovery,provisional_pending_coarse_regional_coverage,false,true,false,session_failed_behavior_qc; session_qc=engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,engaged_2_response_below_threshold;engaged_2_dprime_below_threshold;reward_suppression_drop_below_threshold,1051,provisional_discovery_not_activated,false,Male,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,DynamicGating,EPHYS_3,3,a328a768-2f48-4973-a519-a9c37a342288,sub-615048/sub-615048_ses-20220811T211342.nwb,1197967151,1198001226,2022-08-11 14:13:42.892000,3
