_nwb_path,subject_id,ecephys_session_id,recording_day,n_trials,n_unresolved_trials,n_nwb_source_trials,n_companion_source_trials,n_missing_source_trials,n_no_reward_trials,n_nwb_companion_disagreements,n_companion_internal_conflict_trials,n_effective_reward_epoch_conflicts,reward_epoch_audit_status
https://dandiarchive.s3.amazonaws.com/blobs/2d2/988/2d298808-6dde-4ebb-bedd-fa2de1e683d2,636740,1226780656,EPHYS_4,620,0,620,0,0,225,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/548/e95/548e9593-494c-49ca-9ff0-8285e38c3acd,636740,1226528572,EPHYS_3,569,0,569,0,0,195,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f0c/39c/f0c39cce-3f08-4bbe-8fac-b1942b204ff6,636740,1226010097,EPHYS_1,472,0,472,0,0,174,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/f5f/cc2/f5fcc2ca-f86f-4533-8e69-479f32781517,636740,1226251663,EPHYS_2,555,0,555,0,0,189,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/994/5a0/9945a088-2bea-49d3-8375-64eea7550062,637483,1227855488,EPHYS_2,697,0,697,0,0,284,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/9d2/6e8/9d26e823-d653-42f0-a3ff-fcb202d7a66a,637483,1228018071,EPHYS_3,727,0,727,0,0,279,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/abe/045/abe045a7-cd57-4618-a695-02068dbb75c1,637483,1227622013,EPHYS_1,790,0,790,0,0,438,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/207/67e/20767ee0-0250-4a1d-9283-45f07c724d92,637488,1230732154,EPHYS_1,439,0,439,0,0,170,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/548/45e/54845e01-187e-4d6b-858a-071e0675a0de,637488,1231476077,EPHYS_4,495,0,495,0,0,184,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/b2e/656/b2e6563b-6164-4f85-ab61-a16d682acc5a,637488,1230962048,EPHYS_2,452,0,452,0,0,167,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/d66/dd6/d66dd6e8-811f-4763-9d8f-69071ba64b62,637488,1231219674,EPHYS_3,526,0,526,0,0,175,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/670/d01/670d01b8-e344-45cf-b21d-c26022721b85,638387,1229887685,EPHYS_3,834,0,834,0,0,359,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/902/f95/902f95dc-adc9-4fdb-97ba-0de52800a5e4,638387,1230064747,EPHYS_4,954,0,954,0,0,411,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/9c5/a03/9c5a0313-cb5b-45b6-9e66-5bb6aac04f2c,638387,1229429400,EPHYS_1,628,0,628,0,0,217,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/d8b/8a9/d8b8a9fb-eda0-459f-a722-60a69961c992,638387,1229654875,EPHYS_2,1101,0,1101,0,0,521,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/362/b4b/362b4b76-85f6-4074-b456-db33393f45c0,640887,1234028213,EPHYS_1,596,0,596,0,0,221,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,EPHYS_2,557,0,557,0,0,197,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,EPHYS_3,544,0,544,0,0,203,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,EPHYS_1,570,0,570,0,0,207,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/19d/56b/19d56bf0-7ecb-4c4f-b08d-3f05701ae315,640890,1232954220,EPHYS_3,627,0,627,0,0,227,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/2b3/c82/2b3c82b7-a1e0-42ac-a96d-cfc0fac219b7,640890,1233182785,EPHYS_4,615,0,615,0,0,222,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,1232725697,EPHYS_2,567,0,567,0,0,187,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/4c0/643/4c064370-d6ec-45fb-8be0-edf4ac91097f,642504,1243799530,EPHYS_2,772,0,772,0,0,319,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/559/41e/55941ebd-ef47-4d38-80af-0fabd499db6d,642504,1244070169,EPHYS_3,620,0,620,0,0,235,0,0,0,pass
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,1243523806,EPHYS_1,556,0,556,0,0,195,0,0,0,pass
