subject_id,source_region,target_region,n_sessions,n_trials,engaged_1_source_added_r2,no_reward_source_added_r2,engaged_2_source_added_r2,real_reversible_contrast,shift_reversible_contrast,controlled_reversible_contrast,real_hysteresis_contrast
615048,MB,STR,2,105,-0.0132011622381078,-0.01486823564189299,-0.009118055298812044,0.0037086268734330685,0.0033538375710537582,0.0003547893023793103,0.004083106939295755
615564,MB,STR,1,51,-0.021108956158562342,-0.003757046229105887,0.005822110652168089,-0.0038863765240912396,-0.02511899940530471,0.02123262288121347,0.02693106681073043
623319,MB,STR,1,36,-0.0027612444240414646,-0.0072621453624945875,0.008512397133068283,0.010137721717007997,0.011890277416366446,-0.001752555699358449,0.011273641557109748
623322,MB,STR,1,66,-0.01356727787356471,-0.010041129840932084,-0.0055087327969642885,0.0005031245056675848,0.026070371836566963,-0.02556724733089938,0.00805854507660042
632295,MB,STR,1,42,-0.0069593225170232476,0.001449412828409713,-0.10273557398139788,-0.056296861077620275,-0.08163273124230347,0.025335870164683194,-0.09577625146437463
640887,MB,STR,1,69,0.006586032583886903,0.005995774223552797,-0.026371165452206302,-0.015888340657712496,0.0145803687200029,-0.030468709377715397,-0.032957198036093205
640890,MB,STR,1,81,-0.007106036593395482,-0.004931040006172727,-0.012524303724563368,-0.004884130152806698,-0.017837764572788684,0.012953634419981985,-0.0054182671311678865
642504,MB,STR,2,102,-0.011889826427678662,-0.005909526632075002,-0.018914062377339558,-0.009492417770434108,-0.004050687021209143,-0.005441730749224966,-0.007024235949660895
614608,MB,TH,2,123,-0.008165559947753143,-0.012637232848490498,-0.00997598308024683,0.0035664613344905116,-0.008741882403872275,0.012308343738362787,-0.0018104231324936881
615048,MB,TH,2,105,-0.007932511376501805,-0.00825461205974315,-0.007743951640244606,0.0004163805513699437,0.003673527227389367,-0.0032571466760194234,0.0001885597362571989
615564,MB,TH,1,51,-0.005194108524729235,-0.007191291626677643,0.0003015773990525661,0.004745026063839308,-0.0003874233865308052,0.0051324494503701135,0.005495685923781801
623319,MB,TH,1,36,-0.013629322547312195,0.00478197045678197,-0.0432545346812363,-0.03322389907105622,-0.00947557497250845,-0.02374832409854777,-0.029625212133924106
