_nwb_path,subject_id,ecephys_session_id,perturbation_family,condition,interpretation_scope,reward_block,n_trials,response_probability,mean_axis_score
https://dandiarchive.s3.amazonaws.com/blobs/584/1b8/5841b844-3102-4b4f-8f2c-e4cd23ec8f45,640887,1234203203,contrast,full,within_identity_im115_contrast,no_reward,20,0.1,-0.5159317409508658
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,contrast,full,within_identity_im115_contrast,engaged_1,10,1.0,0.5403670085638606
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,contrast,full,within_identity_im115_contrast,engaged_2,18,1.0,0.15637210938135523
https://dandiarchive.s3.amazonaws.com/blobs/cfc/bf1/cfcbf155-cb15-455d-8450-0ef256540990,640887,1234410451,contrast,full,within_identity_im115_contrast,no_reward,19,0.10526315789473684,-0.5166351853408218
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,contrast,full,within_identity_im115_contrast,engaged_1,11,1.0,0.5068723328269846
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,contrast,full,within_identity_im115_contrast,engaged_2,17,1.0,-0.0980241930611706
https://dandiarchive.s3.amazonaws.com/blobs/13d/b29/13db29ff-1454-412d-8680-ecd7a38c6f95,640890,1232430325,contrast,full,within_identity_im115_contrast,no_reward,20,0.25,-0.5794792206321518
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,1232725697,contrast,full,within_identity_im115_contrast,engaged_1,9,1.0,0.5452781088030327
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,1232725697,contrast,full,within_identity_im115_contrast,engaged_2,17,0.7058823529411765,-0.12695084503228485
https://dandiarchive.s3.amazonaws.com/blobs/e3b/977/e3b97777-89fa-4730-8d0e-fae22e471f07,640890,1232725697,contrast,full,within_identity_im115_contrast,no_reward,18,0.0,-0.4994783635036938
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,1243523806,contrast,full,within_identity_im115_contrast,engaged_1,9,1.0,0.4749069082823051
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,1243523806,contrast,full,within_identity_im115_contrast,engaged_2,18,1.0,-0.08153933689310938
https://dandiarchive.s3.amazonaws.com/blobs/88d/b29/88db2938-a9e0-491c-8056-f83cc894edf3,642504,1243523806,contrast,full,within_identity_im115_contrast,no_reward,20,0.6,-0.4912974172439461
https://dandiarchive.s3.amazonaws.com/blobs/4c0/643/4c064370-d6ec-45fb-8be0-edf4ac91097f,642504,1243799530,contrast,full,within_identity_im115_contrast,engaged_1,9,1.0,0.4896836255379824
