subject_id,reversible_gating_estimate,withdrawal_suppression_estimate,restoration_recovery_estimate,engaged_response_drift_estimate,n_sessions_contributing,reversible_specificity_gating_estimate,withdrawal_specificity_suppression_estimate,restoration_specificity_recovery_estimate,engaged_specificity_drift_estimate,n_sessions_specificity_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method
614547,0.5566845796580009,0.5686129305833739,0.5447562287326279,-0.023856701850746103,3,0.5615269595003807,0.5604405474109907,0.5626133715897706,0.002172824178779916,3,3,3,technically_valid,equal_session_mean
614547,0.6389010989010989,0.6092307692307692,0.6685714285714286,0.05934065934065935,1,0.5084065934065934,0.5268131868131869,0.49000000000000005,-0.03681318681318679,1,3,1,threshold_selected,equal_session_mean
614608,0.4598801738459223,0.57690584656738,0.3428545011244646,-0.23405134544291542,4,0.37925167244536206,0.4586022751388086,0.29990106975191555,-0.15870120538689303,4,4,4,technically_valid,equal_session_mean
614608,0.506721645606937,0.5612470138557095,0.4521962773581645,-0.10905073649754504,2,0.3936789285201023,0.4273184424271381,0.36003941461306643,-0.06727902781407169,2,4,2,threshold_selected,equal_session_mean
615047,0.1269254756147119,0.14800753005604755,0.10584342117337624,-0.0421641088826713,4,0.21040109173835436,0.23684681577033329,0.18395536770637538,-0.05289144806395789,4,4,4,technically_valid,equal_session_mean
615047,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
615048,0.430838855889802,0.5076246518108646,0.3540530599687394,-0.15357159184212518,4,0.36594776952694147,0.44915904334525614,0.2827364957086268,-0.16642254763662934,4,4,4,technically_valid,equal_session_mean
615048,0.5262641534666705,0.4909176349965823,0.5616106719367588,0.07069303694017659,2,0.4660458994984167,0.46472715880610616,0.4673646401907272,0.0026374813846210265,2,4,2,threshold_selected,equal_session_mean
615563,0.7578461065857557,0.7555158320638197,0.7601763811076917,0.004660549043872105,3,0.6937141729470433,0.7213893089237388,0.6660390369703476,-0.055350271953391185,3,3,3,technically_valid,equal_session_mean
615563,0.7578461065857557,0.7555158320638197,0.7601763811076917,0.004660549043872105,3,0.6937141729470433,0.7213893089237388,0.6660390369703476,-0.055350271953391185,3,3,3,threshold_selected,equal_session_mean
615564,0.585760182246415,0.6138877778574298,0.5576325866354002,-0.05625519122202961,4,0.507978347159982,0.5320518734155056,0.4839048209044584,-0.048147052511047186,4,4,4,technically_valid,equal_session_mean
615564,0.6761668277789992,0.7187833904726944,0.633550265085304,-0.08523312538739036,2,0.5322408897455098,0.604239785082407,0.46024199440861224,-0.14399779067379484,2,4,2,threshold_selected,equal_session_mean
623319,0.7487833338670496,0.762032088030273,0.7355345797038263,-0.02649750832644678,3,0.47509052340953334,0.46628045404334495,0.4839005927757218,0.017620138732376795,3,3,3,technically_valid,equal_session_mean
623319,0.8125446589202328,0.8081122346095122,0.8169770832309532,0.008864848621440935,2,0.5502897569594484,0.5728181169624533,0.5277613969564434,-0.045056720006009965,2,3,2,threshold_selected,equal_session_mean
623322,0.5546208866514084,0.5836367791733845,0.5256049941294323,-0.05803178504395219,4,0.6166621531754335,0.6486920942286996,0.5846322121221675,-0.06405988210653199,4,4,4,technically_valid,equal_session_mean
623322,0.667664450175734,0.734522241512225,0.600806658839243,-0.133715582672982,3,0.6752538637421591,0.7524795928029097,0.5980281346814086,-0.1544514581215011,3,4,3,threshold_selected,equal_session_mean
623784,0.45009924913269317,0.493016862170088,0.40718163609529834,-0.08583522607478966,4,0.39455464809576474,0.4038355799160503,0.3852737162754792,-0.018561863640571108,4,4,4,technically_valid,equal_session_mean
623784,0.6720430107526882,0.7741935483870968,0.5698924731182795,-0.20430107526881724,1,0.6022287692666201,0.7477229601518026,0.45673457838143744,-0.2909883817703652,1,4,1,threshold_selected,equal_session_mean
623786,0.5611191343528863,0.5790712765256225,0.5431669921801501,-0.035904284345472395,4,0.5586630306739565,0.5594956076293014,0.5578304537186116,-0.00166515391068979,4,4,4,technically_valid,equal_session_mean
623786,0.7354525896864607,0.7246714456391876,0.7462337337337337,0.021562288094546134,2,0.707463459251678,0.6624431847696224,0.7524837337337337,0.09004054896411134,2,4,2,threshold_selected,equal_session_mean
626279,0.33200346347563525,0.36132800126702563,0.30267892568424487,-0.058649075582780805,4,0.2505857047548874,0.2825511018379523,0.2186203076718225,-0.06393079416612982,4,4,4,technically_valid,equal_session_mean
626279,0.6628663003663003,0.6535714285714286,0.6721611721611722,0.018589743589743635,1,0.4430595370812762,0.43134920634920637,0.45476986781334616,0.02342066146413979,1,4,1,threshold_selected,equal_session_mean
632295,0.6959627363895656,0.6892113542113543,0.7027141185677771,0.013502764356422864,4,0.49147130302185355,0.48223348730701676,0.5007091187366903,0.018475631429673567,4,4,4,technically_valid,equal_session_mean
632295,0.7675611084147669,0.7658301158301158,0.769292100999418,0.003461985169302184,2,0.5497316233218548,0.5532632709103298,0.5461999757333798,-0.007063295176950035,2,4,2,threshold_selected,equal_session_mean
633232,0.1511429795613214,0.17956492312515926,0.1227210359974835,-0.05684388712767571,4,-0.0389266367157252,-0.04014796202890237,-0.037705311402548077,0.0024426506263542924,4,4,4,technically_valid,equal_session_mean
633232,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
636740,0.3319892886571367,0.3725170322346434,0.2914615450796301,-0.08105548715501326,4,0.30640565190408475,0.33339686017781467,0.2794144436303548,-0.05398241654745991,4,4,4,technically_valid,equal_session_mean
636740,0.6121616767732256,0.6920492721164613,0.53227408142999,-0.15977519068647128,1,0.49549501010655905,0.5920492721164614,0.39894074809665675,-0.1931085240198046,1,4,1,threshold_selected,equal_session_mean
637483,0.6640007075181494,0.6555026455026455,0.6724987695336533,0.01699612403100777,3,0.6297549881710102,0.6894985887075137,0.5700113876345066,-0.11948720107300699,3,3,3,technically_valid,equal_session_mean
637483,0.7754166666666666,0.7733333333333333,0.7775,0.004166666666666652,1,0.8588882998340402,0.9153211629479379,0.8024554367201426,-0.11286572622779523,1,3,1,threshold_selected,equal_session_mean
637488,0.16290701151245726,0.20088124274099883,0.12493278028391569,-0.07594846245708313,4,0.14356125509773532,0.16808198580381087,0.1190405243916598,-0.04904146141215106,4,4,4,technically_valid,equal_session_mean
637488,,,,,0,,,,,0,4,0,threshold_selected,equal_session_mean
638387,0.2778322694560553,0.30270365619579315,0.2529608827163175,-0.049742773479475616,4,0.24415097963410878,0.2608024921787569,0.2274994670894607,-0.033303025089296195,4,4,4,technically_valid,equal_session_mean
638387,0.6292689579923623,0.6636661211129297,0.5948717948717949,-0.0687943262411348,1,0.6269541431775474,0.6520920470388556,0.6018162393162393,-0.050275807722616306,1,4,1,threshold_selected,equal_session_mean
640887,0.6902955347054102,0.6844105232302744,0.6961805461805461,0.011770022950271816,3,0.7006967137498531,0.6866280769184163,0.7147653505812898,0.02813727366287359,3,3,3,technically_valid,equal_session_mean
640887,0.786484115598929,0.7959646791943058,0.777003552003552,-0.01896112719075388,2,0.7831464902261991,0.757624343059852,0.8086686373925462,0.05104429433269425,2,3,2,threshold_selected,equal_session_mean
640890,0.6823121549312144,0.7072868621738423,0.6573374476885865,-0.04994941448525575,4,0.5828785065319279,0.5762454398280721,0.5895115732357836,0.013266133407711517,4,4,4,technically_valid,equal_session_mean
640890,0.8304143200461653,0.8317500493064229,0.8290785907859077,-0.002671458520515202,2,0.7652402468075761,0.732682450238824,0.7977980433763281,0.0651155931375042,2,4,2,threshold_selected,equal_session_mean
642504,0.8528549489830789,0.8633813377640411,0.8423285602021164,-0.021052777561924807,3,0.7949899542643905,0.7895061325095257,0.8004737760192553,0.010967643509729638,3,3,3,technically_valid,equal_session_mean
642504,0.8528549489830789,0.8633813377640411,0.8423285602021164,-0.021052777561924807,3,0.7949899542643905,0.7895061325095257,0.8004737760192553,0.010967643509729638,3,3,3,threshold_selected,equal_session_mean
