transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_bin_start_seconds,relative_bin_stop_seconds,relative_bin_center_seconds,n_mice_inventory,n_mice_response_contributing,n_sessions_response_contributing,n_trials_contributing,n_responses_contributing,response_probability,response_probability_ci_low,response_probability_ci_high,response_bootstrap_seed,n_mice_latency_contributing,n_sessions_latency_contributing,n_latency_responses_contributing,mean_session_median_response_latency_seconds,response_latency_ci_low,response_latency_ci_high,latency_bootstrap_seed,confidence_level,bootstrap_resamples,ci_method,aggregation,latency_estimand
reward_withdrawal,1,pseudo,catch,-3,engaged_1,-360.0,-240.0,-300.0,27,26,88,289,39,0.14925213675213672,0.10479014041514043,0.19829136141636142,1099,20,32,39,0.4140959374999952,0.3714237750000055,0.4580658531250051,1100,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,catch,-2,engaged_1,-240.0,-120.0,-180.0,27,27,95,278,31,0.10740740740740741,0.0654320987654321,0.15570987654320986,1101,16,25,31,0.4066180208333397,0.37181428645835396,0.4468473723958346,1102,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,catch,-1,engaged_1,-120.0,0.0,-60.0,27,27,97,305,34,0.13436213991769547,0.07824074074074074,0.20262345679012345,1103,16,27,34,0.43742786458329164,0.3877253072915987,0.48555951562497585,1104,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,catch,0,engaged_1,0.0,120.0,60.0,27,27,97,282,34,0.1626028806584362,0.10257073045267488,0.22788194444444443,1105,19,31,34,0.4060728070175041,0.34326854385962363,0.47261550657891815,1106,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,catch,1,engaged_1,120.0,240.0,180.0,27,27,94,289,32,0.13415637860082305,0.07880658436213991,0.19269804526748963,1107,18,27,32,0.38955222222215385,0.33966759722214784,0.44344064583326204,1108,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,catch,2,engaged_1,240.0,360.0,300.0,27,27,96,286,38,0.16481481481481478,0.10354938271604938,0.23503086419753086,1109,20,29,38,0.4491592499999797,0.3850911749999641,0.5182159249999627,1110,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,go,-3,engaged_1,-360.0,-240.0,-300.0,27,27,96,516,345,0.7169275426219871,0.6478576021457966,0.7878381283068785,1111,27,92,345,0.437933256172836,0.4091235497685129,0.4678333587962939,1112,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,go,-2,engaged_1,-240.0,-120.0,-180.0,27,27,99,577,370,0.6859163727219283,0.6031014844209289,0.7637973985890653,1113,27,95,370,0.4456615586419865,0.41603404282407414,0.47462700501544425,1114,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,go,-1,engaged_1,-120.0,0.0,-60.0,27,27,99,571,359,0.6669753086419752,0.5897250698118753,0.7394474757495588,1115,27,93,359,0.43868878086419405,0.41062677584876917,0.4657160381944333,1116,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
reward_withdrawal,1,pseudo,go,0,engaged_1,0.0,120.0,60.0,27,27,99,592,355,0.6448743386243386,0.5552016277189888,0.7302029137272193,1117,27,90,355,0.4488958487654026,0.419073586033898,0.47805214776229854,1118,0.95,10000,mouse_percentile_bootstrap,equal-session mean within mouse; equal-mouse mean,mean across mice of equal-session means of session-median response latency
