subject_id,behavior_block,block_order,response_probability,n_sessions_response_contributing,n_responses,n_go_trials,false_alarm_probability,n_sessions_false_alarm_contributing,n_false_alarms,n_catch_trials,dprime,n_sessions_dprime_contributing,n_sessions_inventory,n_sessions_in_cohort,session_cohort,aggregation_method,n_sessions_contributing
615047,engaged_1,1,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
615047,no_reward_late,2,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
615047,engaged_2_early,3,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
615047,engaged_2_late,4,,0,0,0,,0,0,0,,0,4,0,threshold_selected,equal_session_mean,0
615048,engaged_1,1,0.5657404380516509,4,93,164,0.07037037037037036,4,7,98,1.6200240228333613,4,4,4,technically_valid,equal_session_mean,4
615048,no_reward_late,2,0.05811578624078624,4,8,142,0.011904761904761904,4,1,91,0.403676517392798,4,4,4,technically_valid,equal_session_mean,4
615048,engaged_2_early,3,0.41216884620952565,4,78,196,0.08322132616487454,4,9,112,1.0779839977076975,4,4,4,technically_valid,equal_session_mean,4
615048,engaged_2_late,4,0.38547267025089604,4,49,131,0.08605843653250775,4,6,76,0.9278442664603225,4,4,4,technically_valid,equal_session_mean,4
615048,engaged_1,1,0.5488721804511278,2,40,73,0.05,2,2,41,1.7097307310037233,2,4,2,threshold_selected,equal_session_mean,2
615048,no_reward_late,2,0.05795454545454545,2,4,73,0.023809523809523808,2,1,46,0.2513191704801643,2,4,2,threshold_selected,equal_session_mean,2
615048,engaged_2_early,3,0.6195652173913044,2,57,92,0.11805555555555555,2,6,51,1.4131169065274376,2,4,2,threshold_selected,equal_session_mean,2
615048,engaged_2_late,4,0.53125,2,34,64,0.1408668730650155,2,5,36,1.084071665999435,2,4,2,threshold_selected,equal_session_mean,2
615563,engaged_1,1,0.8234982882041706,3,113,138,0.06442955344311117,3,5,81,2.3473888372282317,3,3,3,technically_valid,equal_session_mean,3
615563,no_reward_late,2,0.06798245614035088,3,7,112,0.030303030303030304,3,2,70,0.13392989990381698,3,3,3,technically_valid,equal_session_mean,3
615563,engaged_2_early,3,0.8281588372480426,3,100,123,0.12444037444037444,3,8,72,2.1134062425291518,3,3,3,technically_valid,equal_session_mean,3
615563,engaged_2_late,4,0.7890989729225023,3,67,86,0.18860877684407096,3,10,55,1.686393956591316,3,3,3,technically_valid,equal_session_mean,3
615563,engaged_1,1,0.8234982882041706,3,113,138,0.06442955344311117,3,5,81,2.3473888372282317,3,3,3,threshold_selected,equal_session_mean,3
615563,no_reward_late,2,0.06798245614035088,3,7,112,0.030303030303030304,3,2,70,0.13392989990381698,3,3,3,threshold_selected,equal_session_mean,3
615563,engaged_2_early,3,0.8281588372480426,3,100,123,0.12444037444037444,3,8,72,2.1134062425291518,3,3,3,threshold_selected,equal_session_mean,3
615563,engaged_2_late,4,0.7890989729225023,3,67,86,0.18860877684407096,3,10,55,1.686393956591316,3,3,3,threshold_selected,equal_session_mean,3
615564,engaged_1,1,0.7394744820731662,4,119,162,0.18844475611656536,4,17,95,1.514339934391273,4,4,4,technically_valid,equal_session_mean,4
615564,no_reward_late,2,0.12558670421573648,4,14,124,0.10660885167464115,4,8,72,-0.06177615187393845,4,4,4,technically_valid,equal_session_mean,4
615564,engaged_2_early,3,0.6832192908511368,4,101,156,0.18033661740558293,4,14,89,1.4553735738497502,4,4,4,technically_valid,equal_session_mean,4
