subject_id,transition_id,transition_order,anchor_type,condition,bin_index,analysis_block,relative_bin_start_seconds,relative_bin_stop_seconds,relative_bin_center_seconds,n_sessions_inventory,n_sessions_in_analysis,n_sessions_response_contributing,response_probability,n_trials_contributing,n_responses_contributing,n_sessions_latency_contributing,mean_session_median_response_latency_seconds,n_latency_responses_contributing,n_sessions_response_missing,n_sessions_latency_missing,mouse_bin_status,within_mouse_aggregation
604914,reward_restoration,2,real,go,-3,no_reward,-360.0,-240.0,-300.0,2,2,2,0.5454545454545454,18,8,2,0.46216499999991356,8,0,0,observed,equal_session_mean
604914,reward_restoration,2,real,go,-2,no_reward,-240.0,-120.0,-180.0,2,2,2,0.5555555555555556,17,9,2,0.46191500000009,9,0,0,observed,equal_session_mean
604914,reward_restoration,2,real,go,-1,no_reward,-120.0,0.0,-60.0,2,2,2,0.5,20,9,1,0.1784299999999348,9,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,0,engaged_2,0.0,120.0,60.0,2,2,2,0.5,17,8,1,0.17855999999983396,8,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,1,engaged_2,120.0,240.0,180.0,2,2,2,0.5,13,4,1,0.17784499999993386,4,0,1,observed,equal_session_mean
604914,reward_restoration,2,real,go,2,engaged_2,240.0,360.0,300.0,2,2,2,0.5,18,8,1,0.1788450000001376,8,0,1,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,-3,engaged_1,-360.0,-240.0,-300.0,4,4,4,0.20833333333333331,9,2,2,0.2781399999999934,2,0,2,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,-2,engaged_1,-240.0,-120.0,-180.0,4,4,4,0.125,5,1,1,0.4948400000000106,1,0,3,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,-1,engaged_1,-120.0,0.0,-60.0,4,4,4,0.0,6,0,0,,0,0,4,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,0,engaged_1,0.0,120.0,60.0,4,4,4,0.3333333333333333,8,2,2,0.41145499999998947,2,0,2,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,1,engaged_1,120.0,240.0,180.0,4,4,2,0.0,3,0,0,,0,2,4,observed,equal_session_mean
607660,reward_withdrawal,1,pseudo,catch,2,engaged_1,240.0,360.0,300.0,4,4,4,0.25,9,2,1,0.3115949999998975,2,0,3,observed,equal_session_mean
