table_id,table_path,column_name,column_requirement,expected_logical_dtype,n_sources_audited,n_sources_present,n_sources_missing_or_unread,n_sources_compatible,n_sources_incompatible,n_sources_read_error,n_schema_variants,schema_variant_sha256s,observed_physical_dtypes,field_audit_status
task_image_presentations,/intervals/image-set-im114_r_presentations,omitted,required,boolean,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,rewarded,required,boolean,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Boolean,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,start_frame,required,integer,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,start_time,required,numeric,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,stimulus_block,required,integer,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Int32,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,stimulus_name,optional,string,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,String,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,stop_time,required,numeric,16,16,0,16,0,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,Float64,pass
task_image_presentations,/intervals/image-set-im114_r_presentations,tags,unexpected,,16,16,0,0,16,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(String),dtype_incompatible
task_image_presentations,/intervals/image-set-im114_r_presentations,timeseries,unexpected,,16,16,0,0,16,0,1,f8290be9ab6cae08352c11cc19069c675ae452808d0c7467f6b00add1e4d22b6,List(Object),dtype_incompatible
trials,/intervals/trials,aborted,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,auto_rewarded,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,catch,required,boolean,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Boolean,pass
trials,/intervals/trials,change_frame,required,numeric,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Float64,pass
trials,/intervals/trials,change_image_name,required,string,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,String,pass
trials,/intervals/trials,change_time,required,numeric,99,99,0,99,0,0,2,086442ded83a17f0ee29ce7f402546125b8048ae1601dcff905bebe9e10a0a52;ad72beef082b74f8fa8b830b7c977fa4a55f3ea4476410a49aaf3f4cd2a2f8d4,Float64,pass
